id,Sorte,Art,Reifezeit,Wiesen_Nr,Baum_Bild,Blueten,Frucht,Schnitt,Baum_Nr,Zustand
999,"unbekannter Baum
",unbekannt,,10,,,,,,
401,Walnuß,Nuss,,3,,,,,,
401,Walnuß,Nuss,,3,,,,,,
99,unbekannter Apfel,Apfel,,3,,,,,,
399,unbekannte Kirsche,Kirsche,,3,,,,,,
199,unbekannter Birne,Birne,,3,,,,,,
1000,Tod,Tod,,3,/home/uws/privat/Streuobstwiesen/Bilder/Baum_Bilder/Tote_Baeume/20200221_152457.jpg,,,,,2020-02 dem Pilz zum Opfer gefallen
199,unbekannter Birne,Birne,,3,,,,,,
199,unbekannte Birne,Birne,,3,,,,,,
399,unbekannte Kirsche,Kirsche,,3,,,,,,
99,unbekannter Apfel,Apfel,,3,,,,,,
399,unbekannte Kirsche,Kirsche,,3,,,,,,
99,unbekannter Apfel,Apfel,,3,,,,,,
99,Apfel unbestimmt,Apfel,,12,,,,,,
99,Apfel unbestimmt,Apfel,,12,,,,,,
299,Zwetschge,Zwetschge,,12,,,,,,
199,Birne,Birne,,12,,,,,,
13,Boskoop,Apfel,,12,,,,,,
5,"Rheinischer 
Winterrambur",Apfel,,12,,,,,,
99,Apfel unbestimmt,Apfel,,12,,,,,,
99,Apfel unbestimmt,Apfel,,12,,,,,,
399,Kirsche unbestimmt,Kirsche,,12,,,,,,
299,Zwetschge unbestimmt,Zwetschge,,13,,,,,,
299,Zwetschge unbestimmt,Zwetschge,,13,,,,,,
299,Zwetschge unbestimmt,Zwetschge,,13,,,,,,
299,Zwetschge unbestimmt,Zwetschge,,13,,,,,,
299,Zwetschge unbestimmt,Zwetschge,,13,,,,,,
99,Apfel unbestimmt,Apfel,,13,,,,,,
99,Apfel unbestimmt,Apfel,,13,,,,,,
13,Boskoop,Apfel,,13,,,,,,
205,Reneklode,Zwetschge,,11,,,,,,
99,unbekannter Apfel,Apfel,,11,,,,,,
99,unbekannter Apfel,Apfel,,11,,,,,,
99,unbekannter Apfel,Apfel,,11,,,,,,
201,"Fränkische 
Hauszwetschge",Zwetschge,,6,,,,,,
9,"Topaz
",Apfel,,7,,,,2020-03-14,,
16,Gelber Edelapfel,Apfel,,2,,,,,,
99,Apfel unbestimmt,Apfel,,6,,,,2020-03-14,,
401,Walnuß,Nuss,,11,,,,,,
199,Birne unbestimmt,Birne,,11,,,,,,
199,Birne unbestimmt,Birne,,11,,,,,,
99,unbekannter Apfel,Apfel,,11,,,,,,
99,unbestimmt,Apfel,,14,,,,,,
99,unbestimmt,Apfel,,14,,,,,,
299,unbestimmt,Zwetschge,,14,,,,,,
999,unbestimmt,unbestimmt,,14,,,,,,
999,unbestimmt,unbestimmt,,14,,,,,,
999,unbekannt,unbekannt,,14,,,,,,
999,unbekannt,unbekannt,,14,,,,,,
999,unbekannt,unbekannt,,14,,,,,,
206,Mirabelle,Zwetschge,,14,,,,,,
206,Mirabelle,Zwetschge,,14,,,,,,
399,unbekannt,Kirsche,,14,,,,,,
99,unbekannter Apfel,Apfel,,11,,,,,,
,,,,,,,,,,
199,Birne unbestimmt,Birne,,11,,,,,,
99,unbekannter Apfel,Apfel,,11,,,,,,
99,unbekannter Apfel,Apfel,,11,,,,,,
399,unbekannte Kirsche,Kirsche,,3,,,,,,
299,Zwetschge unbestimmt,Zwetschge,,15,,,,,1501,
299,Zwetschge unbestimmt,Zwetschge,,15,,,,,1502,
299,Zwetschge unbestimmt,Zwetschge,,15,,,,,1503,
299,Zwetschge unbestimmt,Zwetschge,,15,,,,,1504,
399,Kirsche unbestimmt,Kirsche,,15,,,,,1505,
402,Maroni,Nuss,,15,,,,,1506,
402,Maroni,Nuss,,15,,,,,1507,
401,Walnuss,Nuss,,15,,,,,1508,
399,Kirsche unbestimmt,Kirsche,,15,,,,,1509,
401,Walnuss,Nuss,,15,,,,,1510,
399,Kirsche unbestimmt,Kirsche,,15,,,,,1511,
401,Walnuss,Nuss,,15,,,,,1512,
399,Kirsche unbestimmt,Kirsche,,15,,,,,1513,
401,Walnuss,Nuss,,15,,,,,1514,
399,Kirsche unbestimmt,Kirsche,,15,,,,,1515,
401,Walnuss,Nuss,,15,,,,,1516,
399,Kirsche unbestimmt,Kirsche,,4,,,,,406,
